sample,time_sec,duration_sec,event_code,event_label
0,0.0,0.004,32766,new_run
0,0.0,118.728,276,eyes_open
29683,118.732,0.004,32766,new_run
29683,118.732,81.084,277,eyes_closed
49955,199.82,0.004,32766,new_run
49955,199.82,166.248,1072,eye_movement
91518,366.072,0.004,32766,new_run
91868,367.472,7.5,768,start_trial
92368,369.472,1.252,772,tongue
93871,375.484,7.5,768,start_trial
94371,377.484,1.252,771,feet
95789,383.156,7.5,768,start_trial
96289,385.156,1.252,770,right_hand
97741,390.964,7.5,768,start_trial
98241,392.964,1.252,769,left_hand
99749,398.996,7.5,768,start_trial
100249,400.996,1.252,769,left_hand
101860,407.44,7.5,768,start_trial
102360,409.44,1.252,770,right_hand
103777,415.108,7.5,768,start_trial
104277,417.108,1.252,771,feet
105827,423.308,7.5,768,start_trial
106327,425.308,1.252,772,tongue
107758,431.032,7.5,768,start_trial
108258,433.032,1.252,770,right_hand
109756,439.024,7.5,768,start_trial
110256,441.024,1.252,771,feet
111662,446.648,7.5,768,start_trial
112162,448.648,1.252,769,left_hand
113557,454.228,7.5,768,start_trial
114057,456.228,1.252,769,left_hand
115529,462.116,7.5,768,start_trial
116029,464.116,1.252,769,left_hand
117473,469.892,7.5,768,start_trial
117973,471.892,1.252,772,tongue
119440,477.76,7.5,768,start_trial
119940,479.76,1.252,770,right_hand
121560,486.24,7.5,768,start_trial
122060,488.24,1.252,770,right_hand
123568,494.272,7.5,768,start_trial
124068,496.272,1.252,769,left_hand
125634,502.536,7.5,768,start_trial
126134,504.536,1.252,769,left_hand
127670,510.68,7.5,768,start_trial
128169,512.68,1.252,771,feet
129735,518.944,7.5,768,start_trial
130235,520.944,1.252,769,left_hand
131806,527.224,7.5,768,start_trial
132306,529.224,1.252,770,right_hand
133886,535.544,7.5,768,start_trial
133886,535.544,7.5,1023,rejected_trial
134386,537.544,1.252,772,tongue
135798,543.192,7.5,768,start_trial
136298,545.192,1.252,772,tongue
137829,551.316,7.5,768,start_trial
138329,553.316,1.252,771,feet
139782,559.128,7.5,768,start_trial
140282,561.128,1.252,769,left_hand
141743,566.972,7.5,768,start_trial
142243,568.972,1.252,772,tongue
143847,575.388,7.5,768,start_trial
144347,577.388,1.252,772,tongue
145851,583.404,7.5,768,start_trial
146351,585.404,1.252,770,right_hand
147826,591.304,7.5,768,start_trial
148326,593.304,1.252,772,tongue
149852,599.408,7.5,768,start_trial
150352,601.408,1.252,772,tongue
151923,607.692,7.5,768,start_trial
152423,609.692,1.252,770,right_hand
154030,616.12,7.5,768,start_trial
154530,618.12,1.252,769,left_hand
156122,624.488,7.5,768,start_trial
156622,626.488,1.252,770,right_hand
158213,632.852,7.5,768,start_trial
158713,634.852,1.252,771,feet
160256,641.024,7.5,768,start_trial
160756,643.024,1.252,771,feet
162320,649.28,7.5,768,start_trial
162820,651.28,1.252,771,feet
164340,657.36,7.5,768,start_trial
164840,659.36,1.252,772,tongue
166312,665.248,7.5,768,start_trial
166812,667.248,1.252,771,feet
168275,673.1,7.5,768,start_trial
168775,675.1,1.252,769,left_hand
170200,680.8,7.5,768,start_trial
170700,682.8,1.252,772,tongue
172281,689.124,7.5,768,start_trial
172781,691.124,1.252,770,right_hand
174259,697.036,7.5,768,start_trial
174759,699.036,1.252,771,feet
176249,704.996,7.5,768,start_trial
176749,706.996,1.252,770,right_hand
178368,713.472,7.5,768,start_trial
178868,715.472,1.252,771,feet
180274,721.096,7.5,768,start_trial
180774,723.096,1.252,772,tongue
182202,728.808,7.5,768,start_trial
182202,728.808,7.5,1023,rejected_trial
182702,730.808,1.252,770,right_hand
184316,737.264,7.5,768,start_trial
184816,739.264,1.252,771,feet
186375,745.5,7.5,768,start_trial
186875,747.5,1.252,769,left_hand
188353,753.412,0.004,32766,new_run
188703,754.812,7.5,768,start_trial
189203,756.812,1.252,769,left_hand
190706,762.824,7.5,768,start_trial
191206,764.824,1.252,769,left_hand
192624,770.496,7.5,768,start_trial
193124,772.496,1.252,772,tongue
194576,778.304,7.5,768,start_trial
195076,780.304,1.252,770,right_hand
196584,786.336,7.5,768,start_trial
196584,786.336,7.5,1023,rejected_trial
197084,788.336,1.252,769,left_hand
198695,794.78,7.5,768,start_trial
199195,796.78,1.252,771,feet
200612,802.448,7.5,768,start_trial
201112,804.448,1.252,769,left_hand
202662,810.648,7.5,768,start_trial
203162,812.648,1.252,771,feet
204593,818.372,7.5,768,start_trial
204593,818.372,7.5,1023,rejected_trial
205093,820.372,1.252,770,right_hand
206591,826.364,7.5,768,start_trial
207091,828.364,1.252,772,tongue
208497,833.988,7.5,768,start_trial
208997,835.988,1.252,769,left_hand
210392,841.568,7.5,768,start_trial
210892,843.568,1.252,771,feet
212364,849.456,7.5,768,start_trial
212864,851.456,1.252,771,feet
214308,857.232,7.5,768,start_trial
214808,859.232,1.252,769,left_hand
216275,865.1,7.5,768,start_trial
216775,867.1,1.252,771,feet
218395,873.58,7.5,768,start_trial
218895,875.58,1.252,770,right_hand
220403,881.612,7.5,768,start_trial
220903,883.612,1.252,772,tongue
222469,889.876,7.5,768,start_trial
222969,891.876,1.252,772,tongue
224505,898.02,7.5,768,start_trial
225005,900.02,1.252,772,tongue
226571,906.284,7.5,768,start_trial
226571,906.284,7.5,1023,rejected_trial
227071,908.284,1.252,771,feet
228641,914.564,7.5,768,start_trial
229141,916.564,1.252,769,left_hand
230721,922.884,7.5,768,start_trial
231221,924.884,1.252,772,tongue
232633,930.532,7.5,768,start_trial
233133,932.532,1.252,770,right_hand
234664,938.656,7.5,768,start_trial
235164,940.656,1.252,772,tongue
236617,946.468,7.5,768,start_trial
237117,948.468,1.252,770,right_hand
238578,954.312,7.5,768,start_trial
239078,956.312,1.252,769,left_hand
240682,962.728,7.5,768,start_trial
241182,964.728,1.252,771,feet
242686,970.744,7.5,768,start_trial
243186,972.744,1.252,770,right_hand
244661,978.644,7.5,768,start_trial
245161,980.644,1.252,769,left_hand
246687,986.748,7.5,768,start_trial
247187,988.748,1.252,771,feet
248758,995.032,7.5,768,start_trial
249258,997.032,1.252,771,feet
250865,1003.46,7.5,768,start_trial
251365,1005.46,1.252,769,left_hand
252957,1011.828,7.5,768,start_trial
253457,1013.828,1.252,771,feet
255048,1020.192,7.5,768,start_trial
255548,1022.192,1.252,772,tongue
257091,1028.364,7.5,768,start_trial
257591,1030.364,1.252,772,tongue
259154,1036.62,7.5,768,start_trial
259654,1038.62,1.252,770,right_hand
261175,1044.7,7.5,768,start_trial
261675,1046.7,1.252,769,left_hand
263147,1052.588,7.5,768,start_trial
263647,1054.588,1.252,770,right_hand
265110,1060.44,7.5,768,start_trial
265610,1062.44,1.252,772,tongue
267035,1068.14,7.5,768,start_trial
267535,1070.14,1.252,770,right_hand
269116,1076.464,7.5,768,start_trial
269616,1078.464,1.252,772,tongue
271094,1084.376,7.5,768,start_trial
271594,1086.376,1.252,771,feet
273084,1092.336,7.5,768,start_trial
273584,1094.336,1.252,770,right_hand
275203,1100.812,7.5,768,start_trial
275703,1102.812,1.252,770,right_hand
277109,1108.436,7.5,768,start_trial
277609,1110.436,1.252,770,right_hand
279037,1116.148,7.5,768,start_trial
279537,1118.148,1.252,771,feet
281151,1124.604,7.5,768,start_trial
281151,1124.604,7.5,1023,rejected_trial
281651,1126.604,1.252,772,tongue
283210,1132.84,7.5,768,start_trial
283710,1134.84,1.252,769,left_hand
285188,1140.752,0.004,32766,new_run
285538,1142.152,7.5,768,start_trial
286038,1144.152,1.252,770,right_hand
287541,1150.164,7.5,768,start_trial
287541,1150.164,7.5,1023,rejected_trial
288041,1152.164,1.252,772,tongue
289459,1157.836,7.5,768,start_trial
289459,1157.836,7.5,1023,rejected_trial
289959,1159.836,1.252,769,left_hand
291411,1165.644,7.5,768,start_trial
291911,1167.644,1.252,771,feet
293419,1173.676,7.5,768,start_trial
293919,1175.676,1.252,771,feet
295530,1182.12,7.5,768,start_trial
296030,1184.12,1.252,772,tongue
297447,1189.788,7.5,768,start_trial
297947,1191.788,1.252,769,left_hand
299497,1197.988,7.5,768,start_trial
299997,1199.988,1.252,769,left_hand
301428,1205.712,7.5,768,start_trial
301428,1205.712,7.5,1023,rejected_trial
301928,1207.712,1.252,771,feet
303426,1213.704,7.5,768,start_trial
303926,1215.704,1.252,770,right_hand
305332,1221.328,7.5,768,start_trial
305832,1223.328,1.252,772,tongue
307227,1228.908,7.5,768,start_trial
307727,1230.908,1.252,772,tongue
309199,1236.796,7.5,768,start_trial
309699,1238.796,1.252,772,tongue
311143,1244.572,7.5,768,start_trial
311643,1246.572,1.252,770,right_hand
313110,1252.44,7.5,768,start_trial
313610,1254.44,1.252,769,left_hand
315230,1260.92,7.5,768,start_trial
315730,1262.92,1.252,771,feet
317238,1268.952,7.5,768,start_trial
317738,1270.952,1.252,770,right_hand
319304,1277.216,7.5,768,start_trial
319804,1279.216,1.252,772,tongue
321340,1285.36,7.5,768,start_trial
321840,1287.36,1.252,769,left_hand
323406,1293.624,7.5,768,start_trial
323906,1295.624,1.252,772,tongue
325476,1301.904,7.5,768,start_trial
325976,1303.904,1.252,771,feet
327556,1310.224,7.5,768,start_trial
328056,1312.224,1.252,770,right_hand
329468,1317.872,7.5,768,start_trial
329968,1319.872,1.252,772,tongue
331499,1325.996,7.5,768,start_trial
331999,1327.996,1.252,772,tongue
333452,1333.808,7.5,768,start_trial
333952,1335.808,1.252,769,left_hand
335413,1341.652,7.5,768,start_trial
335913,1343.652,1.252,770,right_hand
337517,1350.068,7.5,768,start_trial
338017,1352.068,1.252,770,right_hand
339521,1358.084,7.5,768,start_trial
340021,1360.084,1.252,771,feet
341496,1365.984,7.5,768,start_trial
