sample_idx,true_label,pred_label,confidence,conf_0,conf_1,conf_2,conf_3
629,right_hand,feet,0.672292,0.672292,0.0037904794,0.047533244,0.27638432
630,right_hand,feet,0.6600458,0.6600458,0.0028777863,0.040441494,0.2966349
631,right_hand,feet,0.6547596,0.6547596,0.0023924184,0.037025858,0.30582213
632,right_hand,feet,0.63917154,0.63917154,0.0020730358,0.036962293,0.32179314
633,right_hand,feet,0.6160708,0.6160708,0.001739475,0.036059864,0.34612986
634,right_hand,feet,0.622172,0.622172,0.0014602368,0.035832755,0.34053504
635,right_hand,feet,0.6524013,0.6524013,0.0012303888,0.03526522,0.31110305
636,right_hand,feet,0.67711973,0.67711973,0.0010758352,0.035446372,0.28635806
637,right_hand,feet,0.6852827,0.6852827,0.0009577058,0.03400469,0.27975494
638,right_hand,feet,0.7004483,0.7004483,0.0008735191,0.031444363,0.26723388
639,right_hand,feet,0.7211926,0.7211926,0.00067577057,0.025946448,0.25218517
640,right_hand,feet,0.7360576,0.7360576,0.00055157766,0.024601452,0.23878941
641,right_hand,feet,0.7425156,0.7425156,0.00052197254,0.025762571,0.23119982
642,right_hand,feet,0.7598261,0.7598261,0.000546372,0.026961895,0.2126656
643,right_hand,feet,0.77361906,0.77361906,0.00056276476,0.02846174,0.19735652
644,right_hand,feet,0.7755364,0.7755364,0.00058876234,0.034878325,0.18899658
645,right_hand,feet,0.7902356,0.7902356,0.0005527097,0.038344514,0.17086719
646,right_hand,feet,0.8257275,0.8257275,0.00044801485,0.036060378,0.13776407
647,right_hand,feet,0.8579928,0.8579928,0.00036096913,0.032446954,0.109199315
648,right_hand,feet,0.8756318,0.8756318,0.00030885145,0.031093542,0.09296581
649,right_hand,feet,0.8946316,0.8946316,0.00023835531,0.026688503,0.078441456
650,right_hand,feet,0.91776067,0.91776067,0.00015817335,0.019507017,0.0625741
651,right_hand,feet,0.9334366,0.9334366,0.00013230066,0.015496535,0.05093461
652,right_hand,feet,0.94177496,0.94177496,0.00012905404,0.015286253,0.04280979
653,right_hand,feet,0.94665337,0.94665337,0.00013187589,0.015729895,0.03748486
654,right_hand,feet,0.9498678,0.9498678,0.00012242701,0.016250653,0.03375921
655,right_hand,feet,0.95001274,0.95001274,0.0001097795,0.017780509,0.032096922
656,right_hand,feet,0.95150757,0.95150757,8.948428e-05,0.018487554,0.029915353
