sample_idx,true_label,pred_label,pred_class,confidence,conf_0,conf_1,conf_2,conf_3
1677,right_hand,tongue,3,-0.0021160468459129333,-6.216605,-9.27883,-10.665567,-0.0021160468
1678,right_hand,tongue,3,-0.0011734035797417164,-6.811556,-9.879908,-10.795347,-0.0011734036
1679,right_hand,tongue,3,-0.0006451312801800668,-7.4245205,-10.432772,-10.878695,-0.0006451313
1680,right_hand,tongue,3,-0.00042632073746062815,-7.852763,-10.851467,-10.916454,-0.00042632074
1681,right_hand,tongue,3,-0.00032342204940505326,-8.140766,-11.226498,-10.901542,-0.00032342205
1682,right_hand,tongue,3,-0.00027414370561018586,-8.316285,-11.473646,-10.880429,-0.0002741437
1683,right_hand,tongue,3,-0.00022980909852776676,-8.49875,-11.654524,-10.961147,-0.0002298091
1684,right_hand,tongue,3,-0.00020591283100657165,-8.609871,-11.7672825,-11.053946,-0.00020591283
1685,right_hand,tongue,3,-0.0001807645458029583,-8.757135,-11.905224,-11.005756,-0.00018076455
1686,right_hand,tongue,3,-0.00016360136214643717,-8.87209,-12.012653,-10.967668,-0.00016360136
1687,right_hand,tongue,3,-0.0001617538946447894,-8.888745,-12.00839,-10.951357,-0.0001617539
1688,right_hand,tongue,3,-0.00016693865472916514,-8.859539,-11.942873,-10.909248,-0.00016693865
1689,right_hand,tongue,3,-0.0001735536498017609,-8.815884,-11.921128,-10.89485,-0.00017355365
1690,right_hand,tongue,3,-0.00017540108819957823,-8.815157,-11.87293,-10.822401,-0.00017540109
1691,right_hand,tongue,3,-0.0001705739414319396,-8.872472,-11.801875,-10.689875,-0.00017057394
1692,right_hand,tongue,3,-0.00017635454423725605,-8.8633,-11.697311,-10.547193,-0.00017635454
1693,right_hand,tongue,3,-0.00020591271459124982,-8.692139,-11.605664,-10.47563,-0.00020591271
1694,right_hand,tongue,3,-0.0002510828198865056,-8.470204,-11.405123,-10.409748,-0.00025108282
1695,right_hand,tongue,3,-0.0002712834975682199,-8.387619,-11.318471,-10.369732,-0.0002712835
1696,right_hand,tongue,3,-0.0003141860943287611,-8.229397,-11.243067,-10.303938,-0.0003141861
1697,right_hand,tongue,3,-0.0003768682945519686,-8.027141,-11.1957445,-10.252155,-0.0003768683
1698,right_hand,tongue,3,-0.000515804102178663,-7.697021,-10.873222,-10.097534,-0.0005158041
1699,right_hand,tongue,3,-0.0005603051977232099,-7.6110134,-10.743578,-10.0542755,-0.0005603052
1700,right_hand,tongue,3,-0.0005756747559644282,-7.585598,-10.5779085,-10.071878,-0.00057567476
1701,right_hand,tongue,3,-0.0005997401895001531,-7.5534296,-10.472691,-9.992624,-0.0005997402
1702,right_hand,tongue,3,-0.0007066588732413948,-7.3835096,-10.381561,-9.8953705,-0.0007066589
1703,right_hand,tongue,3,-0.0008102330612018704,-7.234869,-10.329561,-9.837357,-0.00081023306
1704,right_hand,tongue,3,-0.0008651433163322508,-7.1649375,-10.272081,-9.801377,-0.0008651433
1705,right_hand,tongue,3,-0.000979598262347281,-7.040147,-10.062042,-9.729736,-0.0009795983
1706,right_hand,tongue,3,-0.0011230953969061375,-6.9038253,-9.923789,-9.577307,-0.0011230954
1707,right_hand,tongue,3,-0.0013135947519913316,-6.743903,-9.838972,-9.448681,-0.0013135948
1708,right_hand,tongue,3,-0.001634861808270216,-6.513915,-9.73217,-9.356758,-0.0016348618
1709,right_hand,tongue,3,-0.0018757227808237076,-6.369786,-9.627855,-9.276524,-0.0018757228
1710,right_hand,tongue,3,-0.0022295252420008183,-6.195572,-9.395767,-9.168844,-0.0022295252
1711,right_hand,tongue,3,-0.002387522254139185,-6.1290298,-9.257565,-9.148546,-0.0023875223
1712,right_hand,tongue,3,-0.0027554407715797424,-5.985676,-9.130851,-9.069912,-0.0027554408
1713,right_hand,tongue,3,-0.003289051353931427,-5.808722,-8.937902,-8.933763,-0.0032890514
1714,right_hand,tongue,3,-0.0036795553751289845,-5.6945252,-8.774412,-8.845375,-0.0036795554
1715,right_hand,tongue,3,-0.0037869540974497795,-5.667191,-8.662876,-8.809935,-0.003786954
1716,right_hand,tongue,3,-0.0038088555447757244,-5.662752,-8.614172,-8.841141,-0.0038088555
1717,right_hand,tongue,3,-0.004669857211410999,-5.458397,-8.444167,-8.805284,-0.004669857
1718,right_hand,tongue,3,-0.006441835314035416,-5.122717,-8.275448,-8.748678,-0.0064418353
